11:34:26.899144 config: drop-rate=0.20, max-delay=10ms, seed=1
11:34:26.899265 router is listening at :3000
11:39:25.944039 [queue=1] packet #0, 127.0.0.1:45248 -> 127.0.0.1:8007, sz=5 is delayed for 8.7ms
11:39:25.953335 [queue=0] packet #0, 127.0.0.1:45248 -> 127.0.0.1:8007, sz=5 is delivered
11:39:25.953555 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:45248, sz=5 is delayed for 5.9ms
11:39:25.959829 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:45248, sz=5 is delivered
11:44:51.658719 [queue=1] packet #0, 127.0.0.1:46828 -> 127.0.0.1:8007, sz=5 is delayed for 1.8ms
11:44:51.660992 [queue=0] packet #0, 127.0.0.1:46828 -> 127.0.0.1:8007, sz=5 is delivered
11:44:51.661130 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:46828, sz=5 is dropped
11:45:01.061064 [queue=0] packet #0, 127.0.0.1:39867 -> 127.0.0.1:8007, sz=5 is dropped
11:45:07.301668 [queue=0] packet #0, 127.0.0.1:51164 -> 127.0.0.1:8007, sz=5 is dropped
11:45:13.065934 [queue=1] packet #0, 127.0.0.1:43075 -> 127.0.0.1:8007, sz=5 is delayed for 9.4ms
11:45:13.076269 [queue=0] packet #0, 127.0.0.1:43075 -> 127.0.0.1:8007, sz=5 is delivered
11:45:13.076442 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:43075, sz=5 is delayed for 6.2ms
11:45:13.083652 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:43075, sz=5 is delivered
09:18:39.962472 config: drop-rate=0.20, max-delay=10ms, seed=1
09:18:39.962703 router is listening at :3000
09:21:22.007858 [queue=1] packet #0, 127.0.0.1:60408 -> 127.0.0.1:3000, sz=0 is delayed for 8.7ms
09:21:22.017211 [queue=1] packet #0, 127.0.0.1:3000 -> 127.0.0.1:60408, sz=0 is delayed for 5.9ms
09:21:22.017215 [queue=0] packet #0, 127.0.0.1:60408 -> 127.0.0.1:3000, sz=0 is delivered
09:21:22.023505 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:60408, sz=0 is delivered
09:32:39.750538 [queue=1] packet #0, 127.0.0.1:33173 -> 127.0.0.1:3000, sz=0 is delayed for 1.8ms
09:32:39.752801 [queue=0] packet #0, 127.0.0.1:33173 -> 127.0.0.1:3000, sz=0 is delivered
09:32:39.752802 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:33173, sz=0 is dropped
09:32:46.491409 [queue=0] packet #0, 127.0.0.1:45869 -> 127.0.0.1:3000, sz=0 is dropped
09:32:52.979738 [queue=0] packet #0, 127.0.0.1:50736 -> 127.0.0.1:3000, sz=0 is dropped
09:32:59.463107 [queue=1] packet #0, 127.0.0.1:60201 -> 127.0.0.1:3000, sz=0 is delayed for 9.4ms
09:32:59.473366 [queue=0] packet #0, 127.0.0.1:60201 -> 127.0.0.1:3000, sz=0 is delivered
09:32:59.473381 [queue=1] packet #0, 127.0.0.1:3000 -> 127.0.0.1:60201, sz=0 is delayed for 6.2ms
09:32:59.480706 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:60201, sz=0 is delivered
09:36:21.856366 [queue=1] packet #0, 127.0.0.1:41053 -> 127.0.0.1:3000, sz=0 is delayed for 2.8ms
09:36:21.859609 [queue=0] packet #0, 127.0.0.1:41053 -> 127.0.0.1:3000, sz=0 is delivered
09:36:21.859617 [queue=1] packet #0, 127.0.0.1:3000 -> 127.0.0.1:41053, sz=0 is delayed for 1.1ms
09:36:21.861855 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:41053, sz=0 is delivered
09:36:31.028124 [queue=1] packet #0, 127.0.0.1:36355 -> 127.0.0.1:3000, sz=0 is delayed for 3.7ms
09:36:31.032416 [queue=0] packet #0, 127.0.0.1:36355 -> 127.0.0.1:3000, sz=0 is delivered
09:36:31.032425 [queue=1] packet #0, 127.0.0.1:3000 -> 127.0.0.1:36355, sz=0 is delayed for 9.5ms
09:36:31.042726 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:36355, sz=0 is delivered
09:36:36.188933 [queue=1] packet #0, 127.0.0.1:50002 -> 127.0.0.1:3000, sz=0 is delayed for 2.8ms
09:36:36.192162 [queue=1] packet #0, 127.0.0.1:3000 -> 127.0.0.1:50002, sz=0 is delayed for 4.7ms
09:36:36.192162 [queue=0] packet #0, 127.0.0.1:50002 -> 127.0.0.1:3000, sz=0 is delivered
09:36:36.197421 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:50002, sz=0 is delivered
09:39:44.724002 [queue=1] packet #0, 127.0.0.1:37350 -> 127.0.0.1:8007, sz=0 is delayed for 8.7ms
09:39:44.733267 [queue=0] packet #0, 127.0.0.1:37350 -> 127.0.0.1:8007, sz=0 is delivered
09:39:44.733494 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:37350, sz=0 is delayed for 9ms
09:39:44.742719 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:37350, sz=0 is delivered
09:40:34.238675 [queue=1] packet #0, 127.0.0.1:38838 -> 127.0.0.1:8007, sz=0 is delayed for 4.1ms
09:40:34.243999 [queue=0] packet #0, 127.0.0.1:38838 -> 127.0.0.1:8007, sz=0 is delivered
09:40:48.078379 [queue=0] packet #0, 127.0.0.1:36052 -> 127.0.0.1:8007, sz=0 is dropped
09:41:14.427203 [queue=0] packet #0, 127.0.0.1:52279 -> 127.0.0.1:8007, sz=0 is dropped
10:11:04.909916 config: drop-rate=0.20, max-delay=10ms, seed=1
10:11:04.910040 router is listening at :3000
10:11:14.546605 [queue=1] packet #0, 127.0.0.1:47288 -> 127.0.0.1:8007, sz=0 is delayed for 8.7ms
10:11:14.555950 [queue=0] packet #0, 127.0.0.1:47288 -> 127.0.0.1:8007, sz=0 is delivered
10:11:14.556220 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:47288, sz=0 is delayed for 5.9ms
10:11:14.562788 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:47288, sz=0 is delivered
10:12:14.367880 [queue=1] packet #0, 127.0.0.1:33146 -> 127.0.0.1:8007, sz=0 is delayed for 1.8ms
10:12:14.370148 [queue=0] packet #0, 127.0.0.1:33146 -> 127.0.0.1:8007, sz=0 is delivered
10:12:14.370262 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:33146, sz=0 is dropped
11:19:51.117964 config: drop-rate=0.20, max-delay=10ms, seed=1
11:19:51.118145 router is listening at :3000
11:19:54.061545 [queue=1] packet #0, 127.0.0.1:53763 -> 127.0.0.1:3000, sz=37 is delayed for 8.7ms
11:19:54.070847 [queue=1] packet #0, 127.0.0.1:3000 -> 127.0.0.1:53763, sz=37 is delayed for 5.9ms
11:19:54.070854 [queue=0] packet #0, 127.0.0.1:53763 -> 127.0.0.1:3000, sz=37 is delivered
11:19:54.077063 [queue=0] packet #0, 127.0.0.1:3000 -> 127.0.0.1:53763, sz=37 is delivered
11:20:44.006275 [queue=1] packet #0, 127.0.0.1:47589 -> 127.0.0.1:8007, sz=37 is delayed for 1.8ms
11:20:44.008544 [queue=0] packet #0, 127.0.0.1:47589 -> 127.0.0.1:8007, sz=37 is delivered
11:20:44.008708 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:47589, sz=37 is dropped
11:54:53.839210 [queue=0] packet #0, 127.0.0.1:37960 -> 127.0.0.1:8007, sz=37 is dropped
11:55:00.452022 [queue=0] packet #0, 127.0.0.1:33724 -> 127.0.0.1:8007, sz=37 is dropped
11:55:07.229026 [queue=1] packet #0, 127.0.0.1:54896 -> 127.0.0.1:8007, sz=37 is delayed for 9.4ms
11:55:07.239326 [queue=0] packet #0, 127.0.0.1:54896 -> 127.0.0.1:8007, sz=37 is delivered
11:56:05.655601 [queue=1] packet #0, 127.0.0.1:33617 -> 127.0.0.1:8007, sz=37 is delayed for 6.2ms
11:56:05.662866 [queue=0] packet #0, 127.0.0.1:33617 -> 127.0.0.1:8007, sz=37 is delivered
11:56:05.663414 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:33617, sz=16 is delayed for 2.8ms
11:56:05.666642 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:33617, sz=16 is delivered
11:56:52.729564 [queue=1] packet #0, 127.0.0.1:50484 -> 127.0.0.1:8007, sz=37 is delayed for 1.1ms
11:56:52.731847 [queue=0] packet #0, 127.0.0.1:50484 -> 127.0.0.1:8007, sz=37 is delivered
11:56:52.732401 [queue=1] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50484, sz=16 is delayed for 3.7ms
11:56:52.736693 [queue=0] packet #0, 127.0.0.1:8007 -> 127.0.0.1:50484, sz=16 is delivered
